Seed,Cluster,Cluster_Size,Rank,Feature_ID,Feature_Name,Importance_Score,Phi_Weight,Cluster_Mean,Cluster_Std
123,0,1156,1,193,Feature_193,1.288736219943966,0.9332983,-1.380840653049395,0.5211909504797814
123,0,1156,2,699,Feature_699,1.2782251182368443,0.94553137,1.3518590299071798,0.8369961831688506
123,0,1156,3,560,Feature_560,1.2778624064070063,0.93485093,-1.3669156908374602,0.35428517569188506
123,0,1156,4,238,Feature_238,1.260100563535438,0.9468455,-1.3308407770715045,0.6324739399414118
123,0,1156,5,480,Feature_480,1.2439639090386583,0.94135636,-1.3214590782953448,0.989699294237624
123,0,1156,6,435,Feature_435,1.2326378040482302,0.9429392,1.3072293266347743,0.4623836254746361
123,0,1156,7,622,Feature_622,1.213979962494499,0.93052393,1.304619817688276,0.2852540012163994
123,0,1156,8,51,Feature_51,1.1900482799119287,0.9522012,1.2497865948877211,0.27629696135294923
123,0,1156,9,369,Feature_369,1.1897292764256946,0.94701064,-1.2562998035975113,0.2448135976406573
123,0,1156,10,589,Feature_589,1.1881228556899825,0.92071587,-1.2904337769918168,0.5423625771590288
123,0,1156,11,722,Feature_722,1.1781609883441977,0.9482201,1.2424974121825423,0.3340215869864297
123,0,1156,12,387,Feature_387,1.1761922509946667,0.9352843,1.2575772203111244,0.24153460458550394
123,0,1156,13,343,Feature_343,1.1670717987141193,0.9263045,1.2599223846513095,0.3309080095256853
123,0,1156,14,547,Feature_547,1.1495272679221273,0.9308164,-1.2349666949755607,0.12918153652970354
123,0,1156,15,153,Feature_153,1.1479876434326313,0.9280949,-1.2369291269345837,0.07840714100185085
123,0,1156,16,22,Feature_22,1.137410042818154,0.9306288,1.2221952205629933,0.7621611540890654
123,0,1156,17,694,Feature_694,1.1163895904689545,0.94288886,1.1840097413845452,0.15251300985244196
123,0,1156,18,360,Feature_360,1.1149924996449239,0.9350092,-1.1924936371820458,0.3707544010041537
123,0,1156,19,452,Feature_452,1.1025246981433032,0.9354321,-1.178626140684121,0.9637111750118861
123,0,1156,20,606,Feature_606,1.1012214053043168,0.9440904,1.166436365642632,0.2575017921298808
123,1,1296,1,342,Feature_342,1.112825652632171,0.9403776,-1.1833817190753544,0.5737953040730166
123,1,1296,2,29,Feature_29,1.0888316233441697,0.92929137,1.1716794768440109,0.6818474772328401
123,1,1296,3,341,Feature_341,1.0429273072795864,0.9188806,1.1349976567937559,0.7237336491542696
123,1,1296,4,722,Feature_722,1.0309000559172032,0.9482201,-1.087194928679605,0.5410994665409297
123,1,1296,5,633,Feature_633,0.9955350324908411,0.9326353,-1.0674430023029209,0.594988598805933
123,1,1296,6,681,Feature_681,0.9893366193553965,0.8787166,1.1258881792413746,0.6080004735351698
123,1,1296,7,30,Feature_30,0.9891528305263116,0.9106714,-1.086179731202648,0.5992970456867605
123,1,1296,8,111,Feature_111,0.9485101481441711,0.8002736,-1.1852323398083873,0.7521105165992793
123,1,1296,9,291,Feature_291,0.927205407479047,0.9182525,1.0097499102861844,1.0170257572522587
123,1,1296,10,308,Feature_308,0.9077776874241785,0.9210655,0.9855734236482843,0.62172664099343
123,1,1296,11,501,Feature_501,0.8623228386597903,0.90093875,0.9571381398757739,0.694062178782641
123,1,1296,12,142,Feature_142,0.8531277326754928,0.8748332,0.9751889927379528,0.5973846798151652
123,1,1296,13,754,Feature_754,0.8428546040790847,0.89939106,-0.9371391891135736,0.7004877385516927
123,1,1296,14,426,Feature_426,0.8370835870876073,0.85437983,-0.9797557889429239,0.935404767937898
123,1,1296,15,712,Feature_712,0.8278933701280912,0.91905534,-0.9008090499959422,0.4647121494929871
123,1,1296,16,675,Feature_675,0.8250519107116907,0.87119347,0.9470363822461629,0.7043279356213222
123,1,1296,17,452,Feature_452,0.823709161484829,0.9354321,0.8805654437328799,0.5275954893130883
123,1,1296,18,83,Feature_83,0.8211246919609407,0.92679673,-0.8859814256379058,0.8628367580490158
123,1,1296,19,460,Feature_460,0.8125433789087618,0.9002066,0.9026187498810426,0.8053492868843664
123,1,1296,20,10,Feature_10,0.8073730068975324,0.9416298,-0.857420807761005,0.7055122573663215
123,2,1415,1,186,Feature_186,0.8759016926308365,0.9425735,-0.929266210015794,0.7734467259638598
123,2,1415,2,731,Feature_731,0.8382903858543139,0.8693567,-0.9642651787526465,0.7631925656465222
123,2,1415,3,369,Feature_369,0.7954861422797299,0.94701064,0.8399970515250096,0.7472545796012405
123,2,1415,4,237,Feature_237,0.7936595298783502,0.93334043,0.8503430304176497,0.8063227747508637
123,2,1415,5,599,Feature_599,0.7429840367642828,0.9032484,0.8225688666200022,1.0456338437525632
123,2,1415,6,157,Feature_157,0.7129898397995659,0.92218816,0.7731500669363656,0.809653639106575
123,2,1415,7,412,Feature_412,0.7089893198294397,0.89213794,-0.7947081771857337,0.9641644159896959
123,2,1415,8,6,Feature_6,0.7083959164239361,0.9422905,-0.7517808231876316,0.6282929828533202
123,2,1415,9,327,Feature_327,0.6984640166765755,0.93667066,-0.7456879411076279,0.8022881199566454
123,2,1415,10,765,Feature_765,0.6809959700425446,0.9041793,-0.7531647637196036,0.9039807301842712
123,2,1415,11,381,Feature_381,0.6738288866954236,0.92816496,0.7259796657858123,0.8188013588452697
123,2,1415,12,428,Feature_428,0.6687011386270819,0.93505454,0.7151466674591708,0.6701882909184775
123,2,1415,13,627,Feature_627,0.656063480699549,0.92950284,-0.7058219179881179,0.8490358456203486
123,2,1415,14,723,Feature_723,0.6548040305052952,0.9116324,0.7182763766645475,0.6523510277481281
123,2,1415,15,673,Feature_673,0.6538347961014492,0.91351974,0.7157314367684379,0.7522553866950371
123,2,1415,16,756,Feature_756,0.6468693042523425,0.900732,0.7181595835837463,0.7056303401295279
123,2,1415,17,581,Feature_581,0.6440129253448924,0.83988434,0.7667876326397072,0.9408093670613632
123,2,1415,18,106,Feature_106,0.6423422982564759,0.9103285,-0.7056159320711216,0.863890531922959
123,2,1415,19,469,Feature_469,0.6417009874869621,0.92139757,-0.696443110566071,0.7885167633838267
123,2,1415,20,575,Feature_575,0.6386288459732284,0.83276504,0.766877586311627,0.9830743285639837
123,3,305,1,21,Feature_21,1.9978726677785805,0.9395366,-2.1264448115981294,0.5062939855068206
123,3,305,2,539,Feature_539,1.9828108150377093,0.9185673,2.1585906828786148,0.8902399363011235
123,3,305,3,587,Feature_587,1.9022042265052803,0.935553,-2.033240444393675,0.5911308287250804
123,3,305,4,405,Feature_405,1.8903005877781185,0.89184487,2.1195396802791033,0.9751870453940114
123,3,305,5,512,Feature_512,1.8854289663106472,0.94796044,-1.9889321263046496,0.6353748705441927
123,3,305,6,55,Feature_55,1.8804331912636578,0.9301304,2.021687654283073,0.6728407664958616
123,3,305,7,64,Feature_64,1.8606284704575209,0.91362035,2.0365444627706597,0.8555155998777554
123,3,305,8,327,Feature_327,1.8300901251614898,0.93667066,1.953824541980646,0.7176835844879638
123,3,305,9,416,Feature_416,1.7463196087057464,0.8933448,1.954810248514932,0.5990334284862222
123,3,305,10,768,Feature_768,1.6876455524612917,0.93640876,1.8022530628303985,0.5926941493811979
123,3,305,11,582,Feature_582,1.6745027589057748,0.91660404,-1.8268550890904154,0.4254818710451111
123,3,305,12,544,Feature_544,1.6552251691942315,0.91945386,-1.800226463132996,0.5520218518151178
123,3,305,13,254,Feature_254,1.6522632173394656,0.93130577,-1.7741361403232467,0.817632669874246
123,3,305,14,302,Feature_302,1.643790831624342,0.917908,-1.790801266120514,1.1679445934225807
123,3,305,15,586,Feature_586,1.6401615363581188,0.8840675,-1.855244742356137,1.151458277251306
123,3,305,16,724,Feature_724,1.615432904262574,0.9448907,-1.709650589212489,0.40566344051746117
123,3,305,17,194,Feature_194,1.6085402217896019,0.9219772,1.74466373297158,0.854071942950137
123,3,305,18,549,Feature_549,1.6078435962997772,0.8723941,1.8430244130185902,1.1457330366361766
123,3,305,19,224,Feature_224,1.6017326652813664,0.94716805,-1.6910754765924743,0.6220964247543852
123,3,305,20,657,Feature_657,1.5537617953214913,0.8723563,-1.7811091674169854,1.1719522828748457
123,4,588,1,152,Feature_152,1.0449959992034634,0.8203799,1.2737952049179493,0.806252872637238
123,4,588,2,14,Feature_14,1.0309437925820408,0.9108348,1.1318669474640657,1.061607102994059
123,4,588,3,702,Feature_702,1.02864750384519,0.855342,-1.2026154904313968,0.8364751941741034
123,4,588,4,556,Feature_556,0.9452208845109402,0.9182832,-1.0293348061882928,1.0098702464181974
123,4,588,5,382,Feature_382,0.8775390866949279,0.75816727,-1.157447868127916,0.9158712226504863
123,4,588,6,623,Feature_623,0.8732576158082618,0.830898,1.0509805410384765,0.8686428990712826
123,4,588,7,171,Feature_171,0.8679915400785408,0.877685,-0.9889556387092998,0.8565003889305054
123,4,588,8,643,Feature_643,0.8457941115652927,0.8469509,-0.9986341863690569,0.7327696207594074
123,4,588,9,191,Feature_191,0.8374097332505441,0.91463405,0.9155680725227643,1.0193700955638414
123,4,588,10,415,Feature_415,0.8301507702382509,0.6797137,1.2213241228335554,1.0917792336986747
123,4,588,11,649,Feature_649,0.826196761793573,0.8783199,0.9406558405636222,0.7498271008721805
123,4,588,12,743,Feature_743,0.8254835917627582,0.7526532,1.0967649004812632,0.8654950226735648
123,4,588,13,106,Feature_106,0.8140528511156356,0.9103285,0.8942407542742296,0.801698119352348
123,4,588,14,755,Feature_755,0.8042844815361042,0.79124844,-1.0164752814948725,1.1747948625469986
123,4,588,15,731,Feature_731,0.7806611463893761,0.8693567,0.8979756568497974,0.9248593707908911
123,4,588,16,417,Feature_417,0.7802873995407289,0.9003042,-0.8666930589065072,0.774575086180844
123,4,588,17,198,Feature_198,0.7709253877379383,0.9161366,-0.8414960922466274,0.7053635630844642
123,4,588,18,721,Feature_721,0.7628607608763661,0.8854012,-0.861598979165609,0.941461335332478
123,4,588,19,453,Feature_453,0.7546258016759605,0.81584466,-0.9249626102432515,0.9751655996332305
123,4,588,20,667,Feature_667,0.7530929016011442,0.85499924,0.8808111898323966,0.8201378804359087
123,5,440,1,14,Feature_14,1.0097095980325228,0.9108348,1.1085540538421677,0.962043443073856
123,5,440,2,702,Feature_702,0.9428833220160961,0.855342,-1.102346609977898,0.868092615524907
123,5,440,3,616,Feature_616,0.8136736908322564,0.9279928,0.8768103293984961,0.9946653457396696
123,5,440,4,382,Feature_382,0.805559664900807,0.75816727,-1.0625091587668725,0.7995884335059918
123,5,440,5,207,Feature_207,0.7613035458911006,0.7550858,1.0082344546243058,1.124019785676782
123,5,440,6,380,Feature_380,0.7591509844634409,0.84386796,0.8996087333730377,0.7785198765954278
123,5,440,7,152,Feature_152,0.7565968460897204,0.8203799,0.922251793633408,1.008729962766066
123,5,440,8,191,Feature_191,0.7554668409449092,0.91463405,0.8259771673944093,1.0547872721515412
123,5,440,9,607,Feature_607,0.7523296247201847,0.80560887,-0.9338646259301825,0.8450316131804436
123,5,440,10,500,Feature_500,0.7492400687734679,0.84973264,0.8817362494881035,1.173962726538184
123,5,440,11,251,Feature_251,0.7452246626199208,0.8893659,0.8379280709968215,0.7853062981476361
123,5,440,12,623,Feature_623,0.7418906869846443,0.830898,0.892878185639239,1.1529943440028125
123,5,440,13,657,Feature_657,0.7266332071387941,0.8723563,0.8329546205097184,0.9027829908255799
123,5,440,14,202,Feature_202,0.7256762647552697,0.94217014,-0.7702178529521838,0.8195394049868023
123,5,440,15,556,Feature_556,0.7250888298005108,0.9182832,-0.7896134991538756,0.7968633130293062
123,5,440,16,198,Feature_198,0.7223459053933615,0.9161366,-0.7884696318309515,0.8968712258847525
123,5,440,17,415,Feature_415,0.7204593451145406,0.6797137,1.0599452644689122,1.0170034389064626
123,5,440,18,455,Feature_455,0.7171748006848642,0.72120076,-0.9944176938041,1.1934140221402978
123,5,440,19,689,Feature_689,0.716732153892613,0.88509804,0.8097771336251826,0.8577166765519083
123,5,440,20,349,Feature_349,0.701492232941537,0.83175653,-0.8433865028900219,1.5655350231948093
