Seed,Cluster,Cluster_Size,Rank,Feature_ID,Feature_Name,Importance_Score,Phi_Weight,Cluster_Mean,Cluster_Std
999,0,721,1,533,Feature_533,1.9057488312759725,0.93570775,2.036692370538984,0.29960171786789125
999,0,721,2,480,Feature_480,1.905099802429804,0.9413803,-2.023730216097766,0.5097486559382822
999,0,721,3,699,Feature_699,1.8917307533850347,0.9451668,2.001478152692094,0.04202348748678902
999,0,721,4,183,Feature_183,1.8464657933059043,0.9358361,-1.9730654109265604,0.15055401366129167
999,0,721,5,466,Feature_466,1.7882616816011763,0.931686,-1.9193824014236596,0.37781361317157713
999,0,721,6,8,Feature_8,1.7421262593492761,0.9291098,1.8750488233531513,0.42671368976328516
999,0,721,7,163,Feature_163,1.7413353880956857,0.9256243,1.8812550269669255,0.8412301787327658
999,0,721,8,452,Feature_452,1.7332774689868666,0.93542916,-1.8529222209834793,0.5298943109896546
999,0,721,9,354,Feature_354,1.7248263193363227,0.9492637,1.8170149496396184,0.3367495772078152
999,0,721,10,313,Feature_313,1.686761912997691,0.92952466,1.8146499876584448,0.26183842466242935
999,0,721,11,718,Feature_718,1.6805759926719013,0.94028294,-1.787308819116361,0.0049750032751727825
999,0,721,12,238,Feature_238,1.6743030148086635,0.9468845,-1.7682230430388042,0.3646723687259929
999,0,721,13,193,Feature_193,1.6661113735817874,0.9332996,-1.7851838484204852,0.03239069629030928
999,0,721,14,130,Feature_130,1.6570970471680957,0.9351122,-1.7720836981667574,0.23909195214753712
999,0,721,15,89,Feature_89,1.6506408742903815,0.92883253,-1.7771135476457618,0.11984235090376709
999,0,721,16,558,Feature_558,1.6487642991098785,0.92990655,-1.7730430055640465,0.02557483322381281
999,0,721,17,569,Feature_569,1.6446966588897687,0.92924315,-1.769931436717102,0.06598431771824094
999,0,721,18,567,Feature_567,1.6436241519388,0.95229393,1.7259630624035167,0.5398526556819907
999,0,721,19,317,Feature_317,1.642236840741185,0.92550695,1.7744187029194438,0.6025811747567927
999,0,721,20,584,Feature_584,1.6406838410877418,0.9284582,1.7671057422841554,0.5231556686980474
999,1,650,1,345,Feature_345,1.9152027202699995,0.9225908,-2.0758962006832933,0.5067015834214289
999,1,650,2,138,Feature_138,1.8702417205664585,0.9283382,2.014612412610696,0.18878253546893625
999,1,650,3,6,Feature_6,1.8168892635231801,0.94248503,1.9277645767107714,0.07903935643574034
999,1,650,4,383,Feature_383,1.7980616777451388,0.9417743,-1.9092277854367024,0.5915664018378857
999,1,650,5,610,Feature_610,1.7965071117968598,0.94264877,-1.9058075202267861,0.6698117239653812
999,1,650,6,286,Feature_286,1.7888924493499707,0.93499243,-1.913269441535882,0.445074754461775
999,1,650,7,424,Feature_424,1.7875636871477518,0.9300372,1.9220346092404816,0.20099996012686033
999,1,650,8,21,Feature_21,1.757182977415498,0.93956226,-1.8702145138840394,0.15265295319744146
999,1,650,9,401,Feature_401,1.6636159547018754,0.92303604,1.8023304450045656,0.6271892172554732
999,1,650,10,55,Feature_55,1.6596764490297553,0.92946374,1.7856279596181663,0.4577432961422503
999,1,650,11,712,Feature_712,1.6362727084577862,0.9190461,1.780403291431747,0.7234471960243588
999,1,650,12,673,Feature_673,1.6344472267606882,0.913815,-1.7885974604041366,0.15151838460831019
999,1,650,13,173,Feature_173,1.623558183901392,0.9465316,1.715270989935015,0.2658125826647405
999,1,650,14,566,Feature_566,1.6180376217544146,0.94540554,1.7114746512653878,0.4328946145988601
999,1,650,15,587,Feature_587,1.6094905605072405,0.9355437,-1.7203798529781111,0.4518926864970807
999,1,650,16,546,Feature_546,1.5856756260300875,0.9380484,-1.6903984786631152,0.49360813950405413
999,1,650,17,568,Feature_568,1.5812381224368803,0.9284315,1.7031284524810963,0.4812512113657083
999,1,650,18,64,Feature_64,1.5805574455639309,0.9134665,1.7302850436209312,0.586185837053628
999,1,650,19,327,Feature_327,1.5751203639925053,0.936688,1.681584854327608,0.45049745981974165
999,1,650,20,134,Feature_134,1.571770722049601,0.9469018,1.659908899695067,0.37865851355068647
999,2,1304,1,342,Feature_342,1.111282735811596,0.9403783,-1.1817400784425158,0.5671185985707946
999,2,1304,2,29,Feature_29,1.077885440555693,0.92889136,1.1603998982982213,0.6943193566235033
999,2,1304,3,341,Feature_341,1.0332701555100063,0.9181448,1.125389078733169,0.7293169340275282
999,2,1304,4,722,Feature_722,1.0302627809929128,0.9482679,-1.0864680812995668,0.5412255751549981
999,2,1304,5,633,Feature_633,0.9961972845502367,0.93269557,-1.068084077106984,0.5881608607084717
999,2,1304,6,30,Feature_30,0.9760707955272571,0.9080159,-1.074949004974513,0.5939455399019181
999,2,1304,7,681,Feature_681,0.9745293634810467,0.86682206,1.1242553737853942,0.5966265785050401
999,2,1304,8,111,Feature_111,0.9217786770605383,0.79301274,-1.1623756247856105,0.7710031089724855
999,2,1304,9,291,Feature_291,0.9138014404367396,0.9186314,0.9947422496862892,1.023041130954914
999,2,1304,10,308,Feature_308,0.9073416986573147,0.9208972,0.9852801296886005,0.6178399231782177
999,2,1304,11,501,Feature_501,0.8718152120920178,0.8988578,0.9699145280931563,0.6905805006197303
999,2,1304,12,142,Feature_142,0.8523295806650901,0.87446624,0.9746855181845926,0.5965230440828605
